\textit{LLMIC},,,,,,,,,,,
Influenza-2009-X,No Closures,0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.1),0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.1),0.0\textcolor{white}{aaa} (0.0; 0.1)
,Reactive-Business/Sustained-School Closures,0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.1),0.1\textcolor{white}{aaa} (0.0; 0.5),0.0\textcolor{white}{aaa} (0.0; 0.1),0.0\textcolor{white}{aaa} (0.0; 0.2),0.1\textcolor{white}{aaa} (0.0; 0.8),0.0\textcolor{white}{aaa} (0.0; 0.4),0.0\textcolor{white}{aaa} (0.0; 0.0),0.1\textcolor{white}{aaa} (0.0; 0.3),0.1\textcolor{white}{aaa} (0.0; 0.2)
,Reactive-Business/Reactive-School Closures,0.1\textcolor{white}{aaa} (0.0; 1.4),0.0\textcolor{white}{aaa} (0.0; 0.2),0.1\textcolor{white}{aaa} (0.0; 0.8),0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.3),0.1\textcolor{white}{aaa} (0.0; 0.6),0.1\textcolor{white}{aaa} (0.0; 0.8),0.0\textcolor{white}{aaa} (0.0; 0.2),0.1\textcolor{white}{aaa} (0.0; 0.6),0.1\textcolor{white}{aaa} (0.0; 0.7)
,Elimination,3.3\textcolor{white}{aaa} (0.8; 6.0),0.4\textcolor{white}{aaa} (0.0; 1.8),5.2\textcolor{white}{aaa} (2.0; 9.7),0.1\textcolor{white}{aaa} (0.0; 0.4),2.3\textcolor{white}{aaa} (0.7; 4.5),8.9\textcolor{white}{aaa} (3.5; 14.1),2.8\textcolor{white}{aaa} (1.2; 4.9),0.4\textcolor{white}{aaa} (0.1; 1.0),1.6\textcolor{white}{aaa} (0.6; 3.1),2.4\textcolor{white}{aaa} (1.2; 4.4)\phantom{.}
Influenza-1957-X,No Closures,0.0\textcolor{white}{aaa} (0.0; 0.1),0.0\textcolor{white}{aaa} (0.0; 0.1),0.1\textcolor{white}{aaa} (0.0; 0.1),0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.0),0.1\textcolor{white}{aaa} (0.0; 0.2),0.0\textcolor{white}{aaa} (0.0; 0.1),0.0\textcolor{white}{aaa} (0.0; 0.0),0.1\textcolor{white}{aaa} (0.0; 0.1),0.1\textcolor{white}{aaa} (0.0; 0.1)
,Reactive-Business/Sustained-School Closures,0.0\textcolor{white}{aaa} (0.0; 0.1),0.0\textcolor{white}{aaa} (0.0; 0.4),0.3\textcolor{white}{aaa} (0.1; 0.9),0.0\textcolor{white}{aaa} (0.0; 0.1),0.2\textcolor{white}{aaa} (0.0; 0.4),0.6\textcolor{white}{aaa} (0.1; 1.3),0.3\textcolor{white}{aaa} (0.0; 0.7),0.0\textcolor{white}{aaa} (0.0; 0.0),0.2\textcolor{white}{aaa} (0.1; 0.5),0.2\textcolor{white}{aaa} (0.1; 0.4)
,Reactive-Business/Reactive-School Closures,0.8\textcolor{white}{aaa} (0.1; 2.5),0.1\textcolor{white}{aaa} (0.0; 0.7),0.6\textcolor{white}{aaa} (0.1; 1.6),0.0\textcolor{white}{aaa} (0.0; 0.0),0.2\textcolor{white}{aaa} (0.0; 0.7),0.6\textcolor{white}{aaa} (0.1; 1.3),0.5\textcolor{white}{aaa} (0.1; 1.5),0.1\textcolor{white}{aaa} (0.0; 0.4),0.4\textcolor{white}{aaa} (0.1; 1.1),0.5\textcolor{white}{aaa} (0.1; 1.3)
,Elimination,4.1\textcolor{white}{aaa} (2.0; 6.8),0.7\textcolor{white}{aaa} (0.1; 2.3),6.5\textcolor{white}{aaa} (3.3; 11.0),0.2\textcolor{white}{aaa} (0.1; 0.5),2.8\textcolor{white}{aaa} (1.4; 5.3),10.6\textcolor{white}{aaa} (6.1; 15.6),3.4\textcolor{white}{aaa} (1.9; 5.6),0.6\textcolor{white}{aaa} (0.2; 1.2),2.0\textcolor{white}{aaa} (1.0; 3.5),2.9\textcolor{white}{aaa} (1.7; 5.0)\phantom{.}
Influenza-1918-X,No Closures,2.3\textcolor{white}{aaa} (0.7; 5.1),0.7\textcolor{white}{aaa} (0.1; 2.8),2.3\textcolor{white}{aaa} (0.8; 5.0),0.2\textcolor{white}{aaa} (0.1; 0.5),0.6\textcolor{white}{aaa} (0.2; 1.4),4.1\textcolor{white}{aaa} (1.4; 8.1),1.7\textcolor{white}{aaa} (0.6; 3.5),0.5\textcolor{white}{aaa} (0.1; 1.3),2.5\textcolor{white}{aaa} (1.0; 5.6),2.9\textcolor{white}{aaa} (1.1; 6.2)
,Reactive-Business/Sustained-School Closures,1.3\textcolor{white}{aaa} (0.5; 3.2),0.8\textcolor{white}{aaa} (0.1; 4.0),2.3\textcolor{white}{aaa} (1.0; 4.5),0.2\textcolor{white}{aaa} (0.1; 0.6),0.7\textcolor{white}{aaa} (0.3; 1.5),3.8\textcolor{white}{aaa} (1.9; 7.1),2.3\textcolor{white}{aaa} (1.1; 4.4),0.3\textcolor{white}{aaa} (0.1; 0.8),2.1\textcolor{white}{aaa} (1.0; 4.3),2.2\textcolor{white}{aaa} (1.0; 4.6)
,Reactive-Business/Reactive-School Closures,4.7\textcolor{white}{aaa} (2.1; 8.4),1.0\textcolor{white}{aaa} (0.2; 3.4),4.7\textcolor{white}{aaa} (2.2; 9.1),0.2\textcolor{white}{aaa} (0.1; 0.5),1.9\textcolor{white}{aaa} (0.8; 4.0),6.8\textcolor{white}{aaa} (3.0; 12.9),3.2\textcolor{white}{aaa} (1.6; 5.8),0.7\textcolor{white}{aaa} (0.2; 1.6),2.8\textcolor{white}{aaa} (1.4; 5.5),3.7\textcolor{white}{aaa} (2.0; 6.6)
,Elimination,6.6\textcolor{white}{aaa} (3.4; 11.3),1.5\textcolor{white}{aaa} (0.3; 5.0),9.2\textcolor{white}{aaa} (5.0; 15.3),0.4\textcolor{white}{aaa} (0.2; 1.0),3.5\textcolor{white}{aaa} (2.0; 6.7),14.8\textcolor{white}{aaa} (9.0; 21.7),5.0\textcolor{white}{aaa} (2.9; 8.4),1.1\textcolor{white}{aaa} (0.4; 2.3),4.7\textcolor{white}{aaa} (2.4; 8.1),6.0\textcolor{white}{aaa} (3.6; 9.8)\phantom{.}
Covid-Omicron-X,No Closures,0.6\textcolor{white}{aaa} (0.2; 1.4),0.2\textcolor{white}{aaa} (0.0; 0.7),0.5\textcolor{white}{aaa} (0.2; 1.2),0.0\textcolor{white}{aaa} (0.0; 0.1),0.1\textcolor{white}{aaa} (0.1; 0.4),0.6\textcolor{white}{aaa} (0.3; 1.4),0.3\textcolor{white}{aaa} (0.1; 0.6),0.1\textcolor{white}{aaa} (0.0; 0.3),0.5\textcolor{white}{aaa} (0.2; 1.1),0.5\textcolor{white}{aaa} (0.2; 1.0)
,Reactive-Business/Sustained-School Closures,0.4\textcolor{white}{aaa} (0.2; 1.2),0.3\textcolor{white}{aaa} (0.0; 1.2),0.8\textcolor{white}{aaa} (0.3; 1.5),0.1\textcolor{white}{aaa} (0.0; 0.2),0.3\textcolor{white}{aaa} (0.1; 0.5),1.1\textcolor{white}{aaa} (0.5; 1.9),0.6\textcolor{white}{aaa} (0.3; 1.1),0.1\textcolor{white}{aaa} (0.0; 0.3),0.6\textcolor{white}{aaa} (0.3; 1.2),0.6\textcolor{white}{aaa} (0.3; 1.1)
,Reactive-Business/Reactive-School Closures,1.5\textcolor{white}{aaa} (0.6; 3.1),0.3\textcolor{white}{aaa} (0.1; 1.2),1.4\textcolor{white}{aaa} (0.7; 2.7),0.1\textcolor{white}{aaa} (0.0; 0.2),0.5\textcolor{white}{aaa} (0.2; 1.2),1.8\textcolor{white}{aaa} (0.9; 3.1),0.9\textcolor{white}{aaa} (0.4; 1.8),0.2\textcolor{white}{aaa} (0.1; 0.5),1.0\textcolor{white}{aaa} (0.4; 1.8),1.0\textcolor{white}{aaa} (0.6; 1.9)
,Elimination,2.6\textcolor{white}{aaa} (1.0; 5.3),0.5\textcolor{white}{aaa} (0.1; 1.9),3.5\textcolor{white}{aaa} (1.4; 7.8),0.2\textcolor{white}{aaa} (0.1; 0.4),1.6\textcolor{white}{aaa} (0.4; 3.7),5.3\textcolor{white}{aaa} (1.9; 11.9),2.1\textcolor{white}{aaa} (0.7; 4.3),0.4\textcolor{white}{aaa} (0.1; 0.9),1.6\textcolor{white}{aaa} (0.8; 3.0),2.0\textcolor{white}{aaa} (1.0; 3.7)\phantom{.}
Covid-Delta-X,No Closures,4.4\textcolor{white}{aaa} (1.4; 8.9),1.2\textcolor{white}{aaa} (0.2; 4.6),3.8\textcolor{white}{aaa} (1.6; 7.7),0.3\textcolor{white}{aaa} (0.1; 0.9),1.1\textcolor{white}{aaa} (0.4; 2.3),5.4\textcolor{white}{aaa} (2.3; 9.1),2.1\textcolor{white}{aaa} (0.9; 3.9),0.8\textcolor{white}{aaa} (0.2; 2.0),3.8\textcolor{white}{aaa} (1.6; 7.4),3.6\textcolor{white}{aaa} (1.6; 6.7)
,Reactive-Business/Sustained-School Closures,3.5\textcolor{white}{aaa} (1.1; 7.8),1.4\textcolor{white}{aaa} (0.2; 5.8),3.9\textcolor{white}{aaa} (1.8; 7.6),0.4\textcolor{white}{aaa} (0.1; 0.9),1.2\textcolor{white}{aaa} (0.5; 2.4),5.6\textcolor{white}{aaa} (2.9; 9.2),2.9\textcolor{white}{aaa} (1.6; 4.9),0.6\textcolor{white}{aaa} (0.2; 1.7),3.5\textcolor{white}{aaa} (1.6; 6.9),3.4\textcolor{white}{aaa} (1.7; 6.2)
,Reactive-Business/Reactive-School Closures,6.2\textcolor{white}{aaa} (3.0; 10.9),1.5\textcolor{white}{aaa} (0.3; 5.1),6.4\textcolor{white}{aaa} (3.3; 11.0),0.4\textcolor{white}{aaa} (0.1; 0.9),2.3\textcolor{white}{aaa} (1.2; 4.5),9.0\textcolor{white}{aaa} (5.0; 13.8),3.6\textcolor{white}{aaa} (2.0; 6.0),1.0\textcolor{white}{aaa} (0.4; 2.3),4.3\textcolor{white}{aaa} (2.2; 7.8),4.7\textcolor{white}{aaa} (2.7; 8.0)
,Elimination,7.0\textcolor{white}{aaa} (3.7; 12.0),1.6\textcolor{white}{aaa} (0.3; 5.5),8.5\textcolor{white}{aaa} (4.6; 14.0),0.5\textcolor{white}{aaa} (0.2; 1.1),3.1\textcolor{white}{aaa} (1.6; 6.0),12.1\textcolor{white}{aaa} (7.2; 18.1),4.3\textcolor{white}{aaa} (2.5; 7.1),1.1\textcolor{white}{aaa} (0.4; 2.5),4.9\textcolor{white}{aaa} (2.6; 8.4),5.3\textcolor{white}{aaa} (3.3; 8.8)\phantom{.}
Covid-Wildtype-X,No Closures,1.2\textcolor{white}{aaa} (0.4; 2.9),0.3\textcolor{white}{aaa} (0.1; 1.5),1.1\textcolor{white}{aaa} (0.4; 2.6),0.1\textcolor{white}{aaa} (0.0; 0.3),0.3\textcolor{white}{aaa} (0.1; 0.8),1.7\textcolor{white}{aaa} (0.7; 3.6),0.7\textcolor{white}{aaa} (0.3; 1.6),0.2\textcolor{white}{aaa} (0.1; 0.7),1.2\textcolor{white}{aaa} (0.4; 2.7),1.2\textcolor{white}{aaa} (0.5; 2.6)
